
2023-05-27 04:53:59,665 | INFO | SFS-PCA with 95% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-27 04:53:59,666 | INFO | -------------------------------------------------------------------

2023-05-27 04:53:59,666 | INFO | GridSearchCV Starting:
2023-05-27 04:53:59,667 | INFO | ----------------------

2023-05-27 04:55:34,742 | INFO | Best parameter set: {'C': 31, 'break_ties': False, 'class_weight': None, 'gamma': 0.1}
2023-05-27 04:55:34,743 | INFO | ----------------------------------------

2023-05-27 04:55:34,915 | INFO | Selecting 314 principal component making up 100% of the variance:

2023-05-27 04:55:34,916 | INFO | -----------------------------------------------------------------------

2023-05-27 04:55:34,918 | INFO | SFS-PCA with 100% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-27 04:55:34,918 | INFO | -------------------------------------------------------------------

2023-05-27 04:55:34,919 | INFO | GridSearchCV Starting:
2023-05-27 04:55:34,919 | INFO | ----------------------

2023-05-27 04:57:53,866 | INFO | Best parameter set: {'C': 6, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 0.1}
2023-05-27 04:57:53,866 | INFO | ----------------------------------------

2023-05-27 04:57:54,171 | INFO | Performing operations for SVC with Linear Kernel:
2023-05-27 04:57:54,172 | INFO | -------------------------------------------

2023-05-27 04:57:54,172 | INFO | Baseline hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-27 04:57:54,173 | INFO | -------------------------------------------------------------------

2023-05-27 04:57:54,173 | INFO | GridSearchCV Starting:
2023-05-27 04:57:54,173 | INFO | ----------------------

2023-05-27 05:44:54,770 | INFO | Best parameter set: {'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 20}
2023-05-27 05:44:54,771 | INFO | ----------------------------------------

2023-05-27 05:44:55,153 | INFO | PCA Starting PCA
2023-05-27 05:44:55,154 | INFO | --------------------------

2023-05-27 05:44:55,221 | INFO | Selecting 71 principal component making up 75% of the variance:

2023-05-27 05:44:55,222 | INFO | -----------------------------------------------------------------------

2023-05-27 05:44:55,224 | INFO | PCA with 75% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-27 05:44:55,224 | INFO | -------------------------------------------------------------------

2023-05-27 05:44:55,225 | INFO | GridSearchCV Starting:
2023-05-27 05:44:55,225 | INFO | ----------------------

